root_bw,root_ar,sura,sura_name,sura_type,count
Edw,ع-د-و,36,يس,meccan,1
Edw,ع-د-و,41,فصلت,meccan,3
Edw,ع-د-و,43,الزخرف,meccan,2
Edw,ع-د-و,46,الأحقاف,meccan,1
Edw,ع-د-و,50,ق,meccan,1
Edw,ع-د-و,58,المجادلة,medinan,2
Edw,ع-د-و,60,الممتحنة,medinan,5
Edw,ع-د-و,61,الصف,medinan,1
Edw,ع-د-و,63,المنافقون,medinan,1
Edw,ع-د-و,64,التغابن,medinan,1
Edw,ع-د-و,65,الطلاق,medinan,1
Edw,ع-د-و,68,القلم,meccan,1
Edw,ع-د-و,70,المعارج,meccan,1
Edw,ع-د-و,83,المطففين,meccan,1
Edw,ع-د-و,100,العاديات,meccan,1
